InstituteNo,id,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank,is_preparatory
10,19273,2019,NIT,7,HS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,8950,25597,0
10,19274,2019,NIT,7,HS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,18438,48910,0
10,19284,2019,NIT,7,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7514,10015,0
10,19285,2019,NIT,7,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,11006,15048,0
10,19393,2019,NIT,7,HS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,15346,45751,0
10,19394,2019,NIT,7,HS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,51096,57562,0
10,19403,2019,NIT,7,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,10543,12588,0
10,19404,2019,NIT,7,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,14901,17577,0
14,19473,2019,NIT,7,HS,Gender-Neutral,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,960,3561,0
14,19474,2019,NIT,7,HS,Female-Only,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,2645,4920,0
14,19487,2019,NIT,7,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,1452,2156,0
14,19488,2019,NIT,7,OS,Female-Only,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,2787,3874,0
14,19596,2019,NIT,7,HS,Gender-Neutral,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,3622,7280,0
14,19597,2019,NIT,7,HS,Female-Only,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,6847,8630,0
14,19606,2019,NIT,7,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,2527,3731,0
14,19607,2019,NIT,7,OS,Female-Only,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,4209,5533,0
17,19623,2019,NIT,7,HS,Gender-Neutral,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,59052,59052,0
17,19624,2019,NIT,7,HS,Female-Only,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,168977,168977,0
17,19629,2019,NIT,7,OS,Gender-Neutral,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,13604,16156,0
17,19630,2019,NIT,7,OS,Female-Only,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,27937,27937,0
19,19675,2019,NIT,7,OS,Gender-Neutral,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,18706,26535,0
19,19676,2019,NIT,7,OS,Female-Only,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,30254,30254,0
21,19737,2019,NIT,7,HS,Gender-Neutral,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,5403,16347,0
21,19738,2019,NIT,7,HS,Female-Only,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,20497,24847,0
21,19749,2019,NIT,7,OS,Gender-Neutral,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,9803,13638,0
21,19750,2019,NIT,7,OS,Female-Only,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,15599,19565,0
22,19899,2019,NIT,7,HS,Gender-Neutral,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,48027,134522,0
22,19900,2019,NIT,7,HS,Female-Only,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,77669,115837,0
22,19906,2019,NIT,7,OS,Gender-Neutral,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,8530,15164,0
22,19907,2019,NIT,7,OS,Female-Only,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,16930,19176,0
23,20013,2019,NIT,7,HS,Gender-Neutral,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,4114,20432,0
23,20014,2019,NIT,7,HS,Female-Only,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,18447,25197,0
23,20024,2019,NIT,7,OS,Gender-Neutral,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,7829,11571,0
23,20025,2019,NIT,7,OS,Female-Only,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,8084,14910,0
23,20138,2019,NIT,7,HS,Gender-Neutral,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,23013,33631,0
23,20139,2019,NIT,7,HS,Female-Only,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,27453,33970,0
23,20147,2019,NIT,7,OS,Gender-Neutral,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,11266,13979,0
23,20148,2019,NIT,7,OS,Female-Only,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,15255,18626,0
25,20199,2019,NIT,7,HS,Gender-Neutral,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,115859,676734,0
25,20200,2019,NIT,7,HS,Female-Only,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,408309,536823,0
25,20204,2019,NIT,7,OS,Gender-Neutral,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,19742,23800,0
25,20205,2019,NIT,7,OS,Female-Only,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,28594,33374,0
4,20242,2019,NIT,7,HS,Gender-Neutral,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,90316,90922,0
4,20248,2019,NIT,7,OS,Gender-Neutral,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,18342,25460,0
4,20249,2019,NIT,7,OS,Female-Only,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,34066,34096,0
13,20304,2019,NIT,7,HS,Gender-Neutral,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,4886,14897,0
13,20305,2019,NIT,7,HS,Female-Only,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13040,21630,0
13,20314,2019,NIT,7,OS,Gender-Neutral,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,6714,9434,0
13,20315,2019,NIT,7,OS,Female-Only,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13761,15306,0
15,20529,2019,NIT,7,HS,Female-Only,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,10032,12916,0
15,20540,2019,NIT,7,OS,Gender-Neutral,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,5646,7261,0
15,20541,2019,NIT,7,OS,Female-Only,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,10402,12437,0
16,20581,2019,NIT,7,HS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,94712,424450,0
16,20582,2019,NIT,7,HS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,198316,327925,0
16,20589,2019,NIT,7,OS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,18481,26160,0
16,20590,2019,NIT,7,OS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,32460,34134,0
18,20629,2019,NIT,7,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,161870,1144790,0
18,20630,2019,NIT,7,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,389067,389067,0
18,20633,2019,NIT,7,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,18417,26401,0
18,20634,2019,NIT,7,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,34184,34184,0
24,20732,2019,NIT,7,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,3199,10349,0
24,20733,2019,NIT,7,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,6375,10746,0
24,20743,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2149,4115,0
24,20744,2019,NIT,7,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,4537,7503,0
26,21018,2019,NIT,7,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,9338,27304,0
26,21019,2019,NIT,7,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,23696,50964,0
26,21030,2019,NIT,7,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,14751,18947,0
27,21161,2019,NIT,7,HS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,6359,37374,0
27,21162,2019,NIT,7,HS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,35748,52721,0
27,21172,2019,NIT,7,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,19810,23198,0
27,21173,2019,NIT,7,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,30618,34110,0
27,21259,2019,NIT,7,HS,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,38037,88088,0
27,21260,2019,NIT,7,HS,Female-Only,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,62409,68047,0
27,21268,2019,NIT,7,OS,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,24123,29442,0
27,21269,2019,NIT,7,OS,Female-Only,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,34971,42246,0
29,21321,2019,NIT,7,HS,Gender-Neutral,NIT-Tiruchirappalli,Computer Science and Engineering,4 Years,B.Tech,GEN,2060,5325,0
29,21322,2019,NIT,7,HS,Female-Only,NIT-Tiruchirappalli,Computer Science and Engineering,4 Years,B.Tech,GEN,534,4075,0
29,21333,2019,NIT,7,OS,Gender-Neutral,NIT-Tiruchirappalli,Computer Science and Engineering,4 Years,B.Tech,GEN,280,1373,0
29,21334,2019,NIT,7,OS,Female-Only,NIT-Tiruchirappalli,Computer Science and Engineering,4 Years,B.Tech,GEN,1382,2371,0
30,21503,2019,NIT,7,HS,Gender-Neutral,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,22023,23875,0
30,21504,2019,NIT,7,HS,Female-Only,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,30281,30281,0
30,21508,2019,NIT,7,OS,Gender-Neutral,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,12590,13327,0
30,21509,2019,NIT,7,OS,Female-Only,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,16489,16489,0
31,21633,2019,NIT,7,AP,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,1990,2328,0
31,21642,2019,NIT,7,HS,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,1564,2977,0
31,21643,2019,NIT,7,HS,Female-Only,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,2091,4632,0
31,21654,2019,NIT,7,OS,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,826,1980,0
31,21655,2019,NIT,7,OS,Female-Only,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,2428,3840,0
12,22327,2020,NIT,6,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,6183,10635,0
12,22328,2020,NIT,6,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10589,15820,0
12,22340,2020,NIT,6,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,6140,8053,0
12,22341,2020,NIT,6,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,9800,14424,0
12,22413,2020,NIT,6,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,11542,14717,0
12,22414,2020,NIT,6,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,17575,22548,0
12,22422,2020,NIT,6,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,8877,9787,0
12,22423,2020,NIT,6,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,14453,16896,0
11,22562,2020,NIT,6,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1133,3894,0
11,22563,2020,NIT,6,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,4752,6399,0
11,22575,2020,NIT,6,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,2471,3789,0
11,22576,2020,NIT,6,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,5129,6874,0
5,22751,2020,NIT,6,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3919,8292,0
5,22752,2020,NIT,6,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,12686,15296,0
5,22766,2020,NIT,6,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4823,6509,0
5,22767,2020,NIT,6,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,8838,11841,0
2,22961,2020,NIT,6,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,2218,4222,0
2,22962,2020,NIT,6,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,5356,8841,0
2,22976,2020,NIT,6,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1388,3073,0
2,22977,2020,NIT,6,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,4761,6273,0
2,23044,2020,NIT,6,HS,Gender-Neutral,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,4281,6234,0
2,23045,2020,NIT,6,HS,Female-Only,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,11583,12774,0
2,23056,2020,NIT,6,OS,Gender-Neutral,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,3159,4119,0
2,23057,2020,NIT,6,OS,Female-Only,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,7752,8903,0
1,23174,2020,NIT,6,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,22415,63805,0
1,23175,2020,NIT,6,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,65910,100164,0
1,23183,2020,NIT,6,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,10408,18351,0
1,23184,2020,NIT,6,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,23865,29218,0
6,23397,2020,NIT,6,HS,Gender-Neutral,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,2309,9703,0
6,23398,2020,NIT,6,HS,Female-Only,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,7308,12146,0
6,23410,2020,NIT,6,OS,Gender-Neutral,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,1642,3682,0
6,23411,2020,NIT,6,OS,Female-Only,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,4688,6481,0
7,23547,2020,NIT,6,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,4397,12311,0
7,23548,2020,NIT,6,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,12145,14000,0
7,23556,2020,NIT,6,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5095,6983,0
7,23557,2020,NIT,6,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,10025,12468,0
8,23685,2020,NIT,6,HS,Gender-Neutral,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,6286,16406,0
8,23686,2020,NIT,6,HS,Female-Only,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,13291,21965,0
8,23698,2020,NIT,6,OS,Gender-Neutral,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,5855,8215,0
8,23699,2020,NIT,6,OS,Female-Only,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,10209,12678,0
9,23821,2020,NIT,6,GO,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,8367,22712,0
9,23822,2020,NIT,6,GO,Female-Only,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,32312,32312,0
9,23829,2020,NIT,6,HS,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,14581,14581,0
9,23832,2020,NIT,6,OS,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,7420,10323,0
9,23833,2020,NIT,6,OS,Female-Only,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,9842,14149,0
10,23960,2020,NIT,6,HS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,8588,20494,0
10,23961,2020,NIT,6,HS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,18435,37858,0
10,23971,2020,NIT,6,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7273,9617,0
10,23972,2020,NIT,6,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13008,16713,0
10,23983,2020,NIT,6,HS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,22596,25668,0
10,23984,2020,NIT,6,HS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,39683,39683,0
10,23991,2020,NIT,6,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,9684,11312,0
10,23992,2020,NIT,6,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,19533,19533,0
14,24183,2020,NIT,6,HS,Gender-Neutral,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,658,3115,0
14,24184,2020,NIT,6,HS,Female-Only,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,1342,5481,0
14,24196,2020,NIT,6,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,588,1324,0
14,24197,2020,NIT,6,OS,Female-Only,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,2533,3214,0
14,24263,2020,NIT,6,HS,Gender-Neutral,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,3344,7281,0
14,24264,2020,NIT,6,HS,Female-Only,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,5718,8049,0
